id,cycle,person_profile_id,manager_profile_id,grade,status,comments,next_steps,indication_status,peers,liderados,cargo,departamento,created_at,updated_at
9bdff509-812f-4476-b199-2ed14b5bc707,2024.1,,,Dentro da expectativa,Liberado,Será enviado assim que fizermos a devolutiva em reunião com você,,Aprovada,[],[],DevOps Senior ,Devops,2026-03-31T04:12:27+00:00,2026-03-31T04:12:27+00:00
5fc5fc67-853b-4d01-908f-ca7917655a91,2024.1,,,Dentro da expectativa,Liberado,"# **Lucas Lima**

**Expectativa Geral:** Dentro da Expectativa

## **Impacto e Contribuição**

Desempenhou um papel importante na equipe, especialmente como ponto focal no processo de tutoria de novos Engenheiros DevOps, facilitando sua adaptação e entrega de valor de forma mais ágil. Além disso, ele se destacou em demandas complexas, garantindo a qualidade das entregas e trazendo ótimos resultados. Em momentos chave, foi confiável, atuando de forma eficaz.

## **Evolução**

Ao longo do semestre, Lucas demonstrou uma notável evolução na condução do processo de onboarding de novos membros, mostrando-se cada vez mais organizado e eficiente. Há um grande potencial para liderança, mas é necessário equilibrar a velocidade na resolução de problemas e distinguir melhor as tarefas que podem ser entregues de forma ágil e aquelas que exigem uma execução mais detalhada. Para isso, Lucas precisa também ser incentivado a sair da zona de conforto da operação diária e expandir sua atuação para além da execução de atividades e ter a experiência de conduzir e liderar novos processos de escopo técnico.

## **Proatividade**

Embora tenha demonstrado um bom engajamento em suas tarefas diárias e no suporte ao time, ainda há oportunidades para que ele seja mais proativo, especialmente na identificação de novos desafios e na busca por inovações técnicas. Ele precisa de mais estímulos para explorar áreas além de sua rotina habitual e trazer novas soluções para o time.

## **Confiança e Valores**

Representa de forma sólida os valores da empresa, sendo confiável e participativo. Ele mantém um bom relacionamento com seus pares e entrega resultados consistentes, o que o torna uma referência dentro da equipe. Sua capacidade de organização e comprometimento são evidentes, indicando um bom potencial para assumir responsabilidades de liderança no futuro.

## **Avaliação Geral do Ciclo**

Lucas apresentou um bom desempenho na tutoria de novos Engenheiros DevOps, se preocupando com a integração e com as entregas dos novos membros do time, o que, no fim das contas resultou na diminuição de 60% do tempo médio de novos membros começarem a realizar entregas.

Apesar de seu desempenho consistente nas operações diárias e suporte à equipe, seu impacto não excedeu para outras atividades. Para continuar evoluindo, Lucas precisa sair da zona de conforto, e buscar novos desafios, por exemplo liderando projetos e apontando melhoria de processos da empresa.

## **Próximos passos**

**Habilidades Técnicas:**

* Certificação Kubernetes (CKA): Focar em se preparar para obter a certificação Certified Kubernetes Administrator (CKA), aprimorando suas habilidades em administração de clusters Kubernetes e gestão de containers. \* Architect Solutions

**Habilidades Interpessoais:**

\* Gerenciamento de Pessoas no Setup de Novos Clientes/Projetos: Desenvolver habilidades de liderança e gestão, assumindo a responsabilidade de gerenciar equipes no setup de novos contratos de clientes ou projetos, com foco em garantir uma integração eficiente e resultados de qualidade.

Esses passos apoiarão o crescimento técnico e interpessoal, preparando-o para desafios mais amplos na equipe.",,Aprovada,[],[],DevOps Pleno,Devops,2026-03-31T04:12:27+00:00,2026-03-31T04:12:27+00:00
d5a032c7-7db1-40db-89ae-f35c46eb6bf2,2024.1,,,,,,,Aprovada,[],[],Designer Senior ,Quipu,2026-03-31T04:12:27+00:00,2026-03-31T04:12:27+00:00
ca1d0741-9e05-4be2-950e-4de448483600,2024.1,,,,,,,Aprovada,[],[],Product Manager Pleno,Operação,2026-03-31T04:12:27+00:00,2026-03-31T04:12:27+00:00
65d7e308-57f5-4ba6-8d09-4999d2c380b2,2024.1,,,,Em calibragem,,,Aprovada,[],[],Diretor de Operações e Projetos,Gerência,2026-03-31T04:12:27+00:00,2026-03-31T04:12:27+00:00
516f73ae-3493-4655-ae52-52cc017f2e8c,2024.1,,,Dentro da expectativa,Liberado,"# Próximos passos

* **Organizar o projeto para uso de certos padrões (tendo em vista que tem vários repositórios com abordagens diferentes)**
* **Ficar mais próximo da liderança de stack visando atividades que podem ser compartilhadas ou até executadas**
* **Buscar impactar outros projetos com o conhecimento adquirido na WeWork**

O impacto em outros projetos pode ser realizado estruturando as técnicas aplicadas na criação da V2 do PWA. A forma; os cuidados tomados; como segmentar o acesso à nova versão enquanto mantém a versão 1 ao mesmo tempo.

Essa é **uma** ideia de ""como"", mas lembre-se você não deve se restringir a isso. Valide com o líder de stack e/ou tech leader para entender se está no caminho certo para atingir os seus próximos passos.

## Impacto no ciclo

**Estruturou e garantiu a entrega do ""fluxo de relayout"" da plataforma (versão 2).**

Ao perceber que o fluxo de relayout estava bagunçada (por conta do próprio cliente e troca de pessoas que tiveram), assumiu a responsabilidade, revisou os fluxos (backend e design) e garantiu a entrega do mesmo.  

## Evolução do ciclo

* **Passou a dialogar mais com cliente sobre melhorias do fluxo**
* **Refatorou diversos fluxos do projeto para manter o código mais fácil de manter**

Essas evoluções percebidas no ciclo, levaram às entregas melhorarem muito de qualidade.",,Aprovada,[],[],Desenvolvedor(a) Pleno,Operação,2026-03-31T04:12:27+00:00,2026-03-31T04:12:27+00:00
bbcb6878-e309-4875-9fb4-00e00d5bb38b,2024.1,,,Dentro da expectativa,Liberado,"Bruno teve uma atuação sólida e consistente durante o ciclo, demonstrando uma boa evolução técnica, especialmente nas áreas de UX, pesquisa e usabilidade, contribuindo para o sucesso dos projetos. Ele mostrou grande comprometimento com os valores da Cubos, participando de iniciativas internas e promovendo um ambiente colaborativo. Suas entregas foram bem executadas, com destaque para a agilidade e autogestão, gerando impacto positivo nos clientes. Bruno ainda pode melhorar sua comunicação, especialmente na defesa de suas ideias e em iniciativas internas, bem como ampliar sua visão estratégica sobre os projetos.

Seu desempenho nesse ciclo está dentro das expectativas, com feedbacks positivos sobre seu comprometimento e qualidade técnica.",,Aprovada,[],[],Designer Junior,Operação,2026-03-31T04:12:27+00:00,2026-03-31T04:12:27+00:00
201973dc-fed7-46b9-b19f-32898cf0e9c2,2024.1,,,Abaixo da expectativa,Liberado,"Cayo é muito comunicativo, honesto e transparente em suas percepções e respeitoso na fala. Sempre comunica sua opinião sobre o que acha mais adequado para os projetos. Sua interação com a tribo que atua é muito boa, e também com outras tribos da Zig, mostrando-se muito solícito com todos. É uma pessoa muito querida pelas pessoas e é referência técnica para alguns pares e outras pessoas da Zig. Sua entrega de tarefas é muito boa e com qualidade, e não tivemos reclamações quanto a essas questões pelas lideranças da Zig.

Algo que vale a pena trazer como atenção até para outras avaliações, é que quando a gente fala em resultado ou impactos (em qualquer projeto ou na Cubos) não estamos falando de uma ação ou um conjunto de ações bem sucedidas, mas um resultado de impacto sistêmico, de uma mudança estratégica orientada. Resumindo pra sua senioridade, a postura profissional, sendo Pleno e nesse caso quase Senior, ela precisa estar voltada a uma visão para o resultado das ações, do objetivo mais direcionado de onde quer chegar, e não de ações pontuais com resultados pontuais. 

E nessa auto-avaliação, é descrito por Cayo muitas ações com os resultados para os clientes. Mas essas ações parecem ser as próprias tasks com os resultados e objetivos esperados delas, e não um resultado de uma ação orientada por você que teve um impacto sistêmico na zig, ou a prevenção de um risco, ou uma entrega acima do esperado. “E essas ações são esperadas, a gente sabe que Cayo vai executar muito bem as tasks que chegarem pra ele.” Porém, há um espaço para além do escopo do projeto onde há oportunidade de contribuição e evolução.

Considerando uma curva de crescimento, para você estar dentro da expectativa, é preciso ter uma evolução constante e mais clara no ciclo hard ou soft skills (e se teve, isso precisa ser mais exposto pra que a Zig perceba, e a Cubos também). 

E por isso a gente chama atenção que provavelmente Cayo pode melhorar a capacidade de demonstrar resultados das ações que entrega e evolução. Exemplo: Quais ações foram feitas que geraram resultados para além do seu escopo previsto. Como essa ação reverberou? como a tribo, ou a zig recebeu isso e mantém? impactou na tribo como um todo? como isso chegou na cubos? como essas habilidades capacitam Cayo para estar preparado para ser o responsável técnico de uma POC (prova de conceito) que a gente pode querer executar na Cubos?

Neste ciclo tiveram oportunidades de contribuição para além do desenvolvimento das tarefas. Não foi identificado progresso depois do alinhamento com Veri e Rafaum, sobre o processo de trabalho. Também poderia ter aproveitado algumas oportunidades com esse espaço deficiente de acompanhamento da galera da cubos dentro da Zig, principalmente por poder ter tido uma postura de tech lead (como aconteceu em um projeto inicialmente), ou pensar agora com Rafhael (PM) uma parceria, por Cayo ser quem tem maior contexto na Zig. Na posição atual, com a experiência e senioridade técnica que já tem, é preciso maior protagonismo, e iniciativa, mostrando que tem visão estratégica não só pra Zig, mas pra Cubos.

Quanto ao desempenho no ciclo, mesmo você tendo muito conhecimento técnico, e conseguindo realizar as tarefas que foram pedidas, fazer isso bem feito tá dentro do que é esperado por você. Então nesse quesito a gente pode dizer que você estaria dentro da expectativa para sua senioridade. 

Porém, avaliando de forma ampla as oportunidades que teve, sua visão estratégica e tática acerca dos resultados de suas ações, e seu entendimento da onde quer chegar, é que a gente considera que o desempenho no ciclo, levando em consideração sua senioridade, está abaixo da expectativa, principalmente pensando que você está mais perto de ser senior do que de ser pleno, e nossa avaliação leva isso em consideração.

Diante do que foi falado acima, entendemos como próximos passos:

* **Ter clareza de onde quer chegar profissionalmente, e saber se auto-avaliar (entender quais são seus próprios pontos de melhoria e direcionar suas próprias metas e ações). Faz parte do nosso protagonismo enquanto profissional, principalmente com uma senioridade maior, conseguir identificar nossos pontos de melhoria, definir nossas metas e propor ações. Não é uma obrigação da nossa liderança ou de um PM, que podem nos ajudar a identificar os melhores caminhos, e indicar o que considera mais relevante no momento para se ter como meta.**

  

* **Ampliar a visão estratégica e sistêmica, e de como pode impactar positivamente no projeto que está atuando ou na Cubos. E que é diferente de trazer dores a tona tá? Ter clareza do por quê está fazendo cada ação ou tomando uma direção (técnica ou não) e se responsabilizar por esse resultado. Precisa saber fazer as perguntas certas, e ter clareza do por que e pra que está agindo, e onde aquelas ações estão impactando. Entender os objetivos e resultados esperados de forma mais macro e não apenas de cada ação específica ali da task ou do objetivo da sprint, mas entendendo os desdobramentos no próprio trabalho, no time e no projeto. Para isso, também é importante saber demonstrar os resultados das ações que entrega ao longo do ciclo e a própria evolução.**

  

* **Vale reforçar que é preciso buscar uma forma de se aproximar ainda mais da Cubos, quer seja compartilhando conhecimentos na stack (ou Sponges) ou buscando oportunidade para melhorar processos e práticas na equipe/empresa, diante do conhecimento adquirido na Zig e em outros projetos.**

  

* **Desenvolvimento técnico profissional: participação na CNH Backend (por exemplo: acompanhando as pessoas que estão fazendo os projetos);**",,Aprovada,[],[],Desenvolvedor(a) Pleno,Operação,2026-03-31T04:12:27+00:00,2026-03-31T04:12:27+00:00
074fbafc-aba7-496e-83ae-aa68a12781a4,2024.1,,,Dentro da expectativa,Liberado,"O ciclo de David foi bastante proveitoso, sendo que as lideranças das Zig e pares da Cubos falaram sobre sua postura atenta e solícita, além de boa eficiência na entrega das tasks (raramente precisa refazer algo após code review), e com bom domínio das regras de negócio da Zig. Foi observado que ele tem relativa autonomia para correr atrás de como resolver suas demandas (postura proativa) e tem maturidade para trazer características profissionais de pontos de melhoria e pontos de força, características esperadas de uma pessoa pleno (corroborando com a promoção de júnior para pleno ainda dentro do ciclo).

Alguns pontos foram sinalizados que devemos ficar atentos e que vão impactar positivamente no futuro: a) ficar atento à comunicação e alinhamento (para não correr riscos de 2 devs fazerem uma mesma tarefa aparentemente diferentes), b) consolidar uma postura para não ser micro-gerenciado, já se posicionando quanto status/andamento de cada tarefa; c) buscar ter uma linguagem menos técnica para responder os reports (com pessoas de operação que não são devs). A liderança da Zig já sinalizou que percebeu evolução quanto a esses pontos.

Algo que vale a pena trazer como atenção, é que quando falamos em impacto gerado (em qualquer projeto ou na Cubos) não estamos falando de uma ação ou um conjunto de ações bem sucedidas simplesmente, mas um resultado de impacto sistêmico, de uma mudança estratégica orientada. Para senioridade de David, sendo Pleno, a postura profissional precisa estar voltada para uma visão do resultado das ações, do objetivo mais direcionado de onde quer chegar, e não de ações com resultados pontuais já esperados. É importante se fazer algumas perguntas: como uma ação minha reverberou para além da task? como a tribo, ou a zig recebeu isso e mantém hoje? impactou na tribo como um todo? como isso chegou na cubos? como essas habilidades e ações me capacitam para estar preparado para atuar no desenvolvimento de um produto novo da Cubos, por exemplo?

Pensando no desempenho geral do ciclo, na capacidade de entrega, com qualidade, atuando na resolução das demandas, na evolução técnica, e na postura profissional, conseguindo usar da oportunidade para atingir alguns objetivos, levando em consideração sua senioridade, David foi avaliado como dentro da expectativa para o desempenho no ciclo.

Pensando agora em todos esses pontos levantados, e no objetivo de crescimento profissional, a gente resumiu um direcionamento para os próximos passos, mas que não se refletem em ações diretas de execução, pois esse protagonismo de definir como fazer é mais de David do que de uma liderança da zig ou da cubos.

Como próximos passos, é importante manter essa curva de crescimento técnico e o engajamento com time na Zig, se tornando referência para outras pessoas. 

Principalmente agora com a mudança de senioridade para Pleno, é importante mirar em uma visão técnica mais estratégica, com uma postura que vai além de resolução de problemas solicitados e entrega de tasks com qualidade, mas que busca identificar onde estão os problemas, dentro de qualquer etapa do ciclo de desenvolvimento.

E a partir disso, agora vai ser cobrado cada vez mais que David esteja apto a trabalhar em qualquer etapa do processo, que nem sempre a Zig vai dar oportunidade pra isso. Então, trabalhar em cima da CNH (iniciativa da stack de backend da Cubos), que já era esperado, vai fazer muita diferença para evolução dele. É uma grande oportunidade por ser um projeto completo que serve como guia de estudos e com total estrutura para a prática (estrutura de gitlab, ci/cd, kubernetes, serviços externos para integração, pessoas aptas para revisão do que foi feito, etc).

Vale reforçar que é preciso buscar uma forma de se aproximar da Cubos, quer seja compartilhando conhecimentos na stack ou em Sponges, ou buscando oportunidade para melhorar processos e práticas na equipe/empresa, diante do conhecimento adquirido na Zig.",,Aprovada,[],[],Desenvolvedor(a) Pleno,Operação,2026-03-31T04:12:27+00:00,2026-03-31T04:12:27+00:00
935ab1a7-c8ea-4a7c-b6c0-316516ba957d,2024.1,,,Dentro da expectativa,,,,Aprovada,[],[],Analista de RH Junior,Backoffice,2026-03-31T04:12:27+00:00,2026-03-31T04:12:27+00:00
